,id,tweet,subtask_a,subtask_b,subtask_c,clean_tweet
22,12681,@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?,OFF,TIN,GRP,    kind of like when conservatives wanna associate everyone to their left as communist antifa members?
23,82904,@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔,OFF,TIN,GRP,    da fuck is going on people?   there  the men  room and the women  room  pick one and stick w it  
24,63236,@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL,NOT,,,  been a willie fan since before most of you were born    love that he is holding a rally with beto     exactly which fans are furious?  could you give some specifics? url
25,77665,@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,OFF,TIN,IND,  tbh these days i just do not like people in general i just do not connect with people these days just a annoyance  
26,83484,"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising""",NOT,,,"south korean official   leaders will discuss specific denuke measures in pyongyang ""  url  tcot  maga  rednationrising"""
27,74932,@USER @USER You can tell he is a hooper too,NOT,,,    you can tell he is a hooper too
28,91252,@USER I feel like he is better chasing the title,NOT,,,  i feel like he is better chasing the title
29,25440,@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?,OFF,UNT,,      she?  to whom are you referring to?  hillary?  you know what is tiresome?  bernie supporters bashing hillary clinton   she is an actual democrat who raises money for the democratic party and doesn t bash them   she has a positive message   so who is dividing the left?
30,81613,@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL,NOT,,,  glad to see your friends are supporting metis rights as much as you are supporting zionists  url
31,82333,@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀,NOT,,,  yes you are but i was asking what is it about the movie ?     
32,12609,The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK,OFF,TIN,GRP,the only thing the democrats have is lying and stalling to stop trump from being  president   what have they done for you lately   trump  kavanaugh  maga  demsuck
33,13017,@USER No wonder he is being apologetic and more social these day....,NOT,,,  no wonder he is being apologetic and more social these day    
34,18129,@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL,NOT,,,      any updates re ending your blatant  racism as  windrush  andamp   grenfell proves you are       alloutpolitics  politicslive  pmqs   url
35,70380,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.,NOT,,,                      do you know what s going to happen now?  i m going to have to lay in bed and cry while i listen to kelly clarkson  thanks free speech antifa 
36,12108,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL,OFF,TIN,IND,                                                                                                    you are not very smart are you? why do you think gen flynn s sentencing keeps being rescheduled? url
37,14726,@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke,OFF,TIN,GRP,      that  expected if you placate the violent leftists terrorists   kavanaughconfirmation  woke
38,74358,@USER Blow hard,NOT,,,  blow hard
39,82599,@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game,NOT,,,      that means you are a max lvl  twitter user and maybe should try a new game
40,40212,"@USER @USER Please explain what controlled opposition"" means.  As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be.""",NOT,,,"    please explain what controlled opposition"" means   as for bernier escaping, he split with the rest of the conservatives because he  even more racist and exclusionary than they want to be """
41,78367,@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.,NOT,,,          socialists politics that stand up for the downtrodden  and well done for conflating criticism of israel with anti semitism  you are also part of the problem 
42,66596,3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.,NOT,,,3  nina  one of the reasons i did not read this book for so long was because i was so worried about her character  i should've trusted everyone  nina is a goddamn goddess i would die for a thousand times over  she is big and bold and lovely and perfect  her arc  is  perfect 
43,70999,.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh,NOT,,,            please vote no on kavanaugh  he is not fit for scotus and allegations about women and shady financials should disqualify him      ruleoflaw matters   metoo  countryoverparty  withdrawkavanaugh   stopkavanaugh
44,36026,"@USER @USER Ppl who say I'm not racist"" are racist. You Are A Racist. Repeat after me""",NOT,,,"    ppl who say i am not racist"" are racist  you are a racist  repeat after me"""
45,29439,@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA     😀 🗽🗽🗽 😀,NOT,,,  kathy the patriot   you have to love our great president trump!!!  a spine of u s  steel!! changing it! on trade  andamp  everything for americans!!  americafirst  usa  maga  leadership  andamp   respect  economy  jobs  peacethrustrength  god  bless  trump  andamp   theusa            
46,74477,@USER Wow you liberals really don’t have a sense of humor.🙄,NOT,,,  wow you liberals really don t have a sense of humor  
47,49845,@USER I'M SO FUCKING READY,NOT,,,  i am so fucking ready
48,32305,@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic,NOT,,,  holy moly!! if the catholic people have not been awakened by this        falseprophet   lunatic
49,77243,@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc,NOT,,,  lol yeah per dina he is there everyday per claudia no horse got vet care unless it was for donation example limping etc
50,73205,@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.,NOT,,,      what a surprise     same as antifa  blm and so on and so on  soros is americas worst enemy in history  he believes the only way to take down the usa is from withing  and hes right  but it  not gunna happen 
51,47311,@USER Me too! Her wedding was the best! She is very pretty!,NOT,,,  me too! her wedding was the best! she is very pretty!
52,48553,@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.,NOT,,,    no conflict here don t look at this    soros involved in violent left agenda of antifa also 
53,75689,@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes,NOT,,,      url any of your announcements every come to fruition or is it basically stealing labour  ideas to get a few more votes
54,84102,4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???,OFF,TIN,GRP,4 out of 10 british people are basically full on racists  4 out of 10 voters vote for the conservatives  coincidence!???!???
55,10607,#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL,NOT,,, guncontrol advocates must stop falling all over themselves to assure electorate that they too love the horrific 2a url
56,43913,@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?,NOT,,,    hi there! we love what a huge fan of camila mendes you are! would it be alright if we used your tweet about her in our promotional material?
57,98992,@USER Fuck off,OFF,TIN,IND,  fuck off
58,92056,@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion,NOT,,,  certainly a weird view toward the margaret sanger geonicidal philosophy of aborting minorities   i d like to know if the black population that suffers the most shares her opinion
59,33853,"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""""",OFF,TIN,OTH,"    the prison system is so fucked   why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? they did this in louisiana and like 500 inmates went missing"""""
60,75215,@USER @USER She is useless.  Attempts to do the right thing but never follows through.,OFF,TIN,IND,    she is useless   attempts to do the right thing but never follows through 
61,96218,#WalkAway liberals......Your party is POISON. URL,NOT,,, walkaway liberals      your party is poison  url
62,57013,@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.,OFF,TIN,IND,  grateful trump doesn t have a dog in the white house  he is a cruel man 
63,20883,@USER You are lying. Stick with the facts. We pay more than that now.,NOT,,,  you are lying  stick with the facts  we pay more than that now 
64,74831,@USER Trump kicks dem butt - its so fun.,OFF,TIN,IND,  trump kicks dem butt   its so fun 
65,53264,@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.,OFF,TIN,IND,      he is dumb and dumber all in one president   it  a two for one 
66,28204,#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL,NOT,,, toxictory minister   attempted to expense  50 charity donation! it  what    do!!    toriesmustgo  dissolvetheunion  url
67,42024,@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍,NOT,,,  ur so straight forword man  i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior  artist love for  manmarziyaan   
68,84664,@USER And this from the clown that should be in prison?,OFF,TIN,IND,  and this from the clown that should be in prison?
69,54842,@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL,NOT,,,        did twitter silence alex jones in retaliation of him asking twitter jack questions          url
70,48995,@USER Thats because you are an old man.,OFF,TIN,IND,  thats because you are an old man 
71,47153,@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!,OFF,TIN,OTH,      they are obstructionists  anti american  pharisees  ask them what they are running on and you get nothing  maga!
72,76826,"@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie""..right now U know SQUAT about either..""",NOT,,,"    no you are not  you are here 2 represent the alinskyite orwellian leftist tool andamp fool view on things  like 99 9  of the marxists andamp antifa similar 2u  psst! and b4u use the words fascist or fascism again go ahead  andamp  read d ouza  book the big lie""  right now u know squat about either  """
73,27645,"@USER I do remember. :( But somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things.""",NOT,,,"  i do remember   ( but somehow centrist"" antifa haters can never quite seem to bring themselves to condemn such things """
74,64429,@USER I mean it worked for gun control right? URL,OFF,TIN,GRP,  i mean it worked for gun control right? url
75,20943,@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.,NOT,,,  i think the last thing on the wh or trump  mind is april ryan  she needs to stop flattering herself  she  not as important as she thinks she is 
76,78064,@USER Principled conservatives are #Hypocrickets,NOT,,,  principled conservatives are  hypocrickets
77,14122,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't forget @USER &amp; Democrat backed #Antifa,NOT,,,                          do not forget    andamp  democrat backed  antifa
78,72353,@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real ❤️,NOT,,,  she is a beautiful person to teach values to her kids  teaching them they are royalty but keep to keep it from going to their heads  stay real   
79,39051,@USER Bring out his Antifa criminal son to campaign for him,NOT,,,  bring out his antifa criminal son to campaign for him
80,54546,@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.,NOT,,,    i didn t watch and will not watch   watching the september 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment protest on a saturday 
81,50759,A tear is made of 1% water and 99% feelings.,NOT,,,a tear is made of 1  water and 99  feelings 
82,75992,"@USER @USER Trump addresses gun control representing the NRA.  I will not let you down"" he says. URL",NOT,,,"    trump addresses gun control representing the nra   i will not let you down"" he says  url"
83,45068,@USER She is drinking so much koolaid she’s bloated.,OFF,TIN,IND,  she is drinking so much koolaid she s bloated 
84,17259,@USER Holder needs to be prosecuted,NOT,,,  holder needs to be prosecuted
85,95225,@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!,NOT,,,  but    but    both players were women  and both were women of color!
86,84667,@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!,OFF,TIN,IND,        the institution only let her tweet when she behaves  she is a window licker!!!!
87,14574,*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*,NOT,,, babysitting 3 kids   people  how old do you think she is?   she has three kids   me  dont get mad  don t get mad  they don t know  they don t know 
88,23784,@USER well...? URL,NOT,,,  well   ? url
89,93119,WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL,OFF,TIN,IND,wtc this is a threat!!!      maga  qanon  wakeupamerica url
90,30115,"@USER It's easily digestible content.   There's no need for nuance or to even understand the story.  They can show a picture of an ANTIFA"" and get the base level emotional response their content requires in order to be profitable.""",NOT,,,"  it  easily digestible content    there  no need for nuance or to even understand the story   they can show a picture of an antifa"" and get the base level emotional response their content requires in order to be profitable """
91,69281,@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can’t have a conversation with.,NOT,,,    try looking for plain old democrats   the liberals are the ones which you can t have a conversation with 
92,15322,@USER Great news! Old moonbeam Just went into a coma! 😂,NOT,,,  great news! old moonbeam just went into a coma!  
93,75089,@USER OMG HE IS SO EXTRA ILY,NOT,,,  omg he is so extra ily
94,21379,@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!,OFF,TIN,IND,      please call trump out for what he is   a narcissistic sociopath!
95,43133,@USER @USER Unfortunately in America a system like that would be called racist. Liberals believe exams are racist against minority groups.,NOT,,,    unfortunately in america a system like that would be called racist  liberals believe exams are racist against minority groups 
96,52102,@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!,NOT,,,  i know! she is still alive    but wondering if her career was railroaded? odd! loved her   especially that day!
97,59537,@USER @USER Guy you are always present...bet why? Lol,NOT,,,    guy you are always present   bet why? lol
98,44209,@USER @USER what a baby! URL,NOT,,,    what a baby! url
99,96664,@USER you are very persuasive fam,NOT,,,  you are very persuasive fam
100,12559,@USER THAT'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY.....WE WILL VOTE NO TO LIBERALS IN NOVEMBER.... URL,NOT,,,  that  nothing new she was going to vote no anyway     we will vote no to liberals in november     url
101,61914,@USER Burt. A cool dude.,NOT,,,  burt  a cool dude 
102,32317,#MAGA! IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK.,NOT,,, maga! if you are all in for  trump follow me and i will follow back 
103,94767,@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy,NOT,,,  thank u!! i m finally at the point where i m okay with using heat on it again i m so happy
104,64835,@USER Kind of like what trump does all the time huh?,NOT,,,  kind of like what trump does all the time huh?
105,41353,@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.,NOT,,,  because a former antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me 
106,52252,@USER Fuck em,OFF,TIN,GRP,  fuck em
107,91001,@USER Good move....he is the big loser,OFF,TIN,IND,  good move    he is the big loser
108,18495,@USER Let's get to the bottom of this! DM me your zipcode and I'll check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP! *NevinBruce,NOT,,,  let  get to the bottom of this! dm me your zipcode and iwill check it out   we have your back and we will make sure you are enjoying the best that tv has to offer asap!  nevinbruce
109,76680,@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won’t be at the next election.,NOT,,,        for the record i know doug jones personally and he is only a sen  bc we had no other credible choice  he won t be at the next election 
110,88013,@USER The president’s feelings are totally opposite of CNN’s feelings. So what does that say about CNN? They’re all liberals.,NOT,,,  the president s feelings are totally opposite of cnn s feelings  so what does that say about cnn? they re all liberals 
111,66349,"@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin."" noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash""",OFF,UNT,,"  it  literally a narrative that is on par with nazis punch, antifa punch, they are two sides of the same coin "" noooooooo one of these groups wants to exterminate or deport all poc and jews, the other just wants to prevent them from doing that, and this comparison benefits fash"""
112,80561,@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.,OFF,TIN,IND,    there are many dumb arguments for gun control but this may be the dumbest and most common 
113,16052,@USER she is idk what's going on,NOT,,,  she is idk what is going on
114,49996,@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL,NOT,,,    yall need to chill he is having a really abysmal 2nd half  rizzo had an abysmal 1st half  its baseball it happens  does he have things he still needs to work on yes  has the power numbers dropped yes      but he could bounce back at anytime  url
115,77086,@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!,NOT,,,  dude you are old!!! lmao  ps  go pack go!!!
116,10972,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That's why Trump supporters can't even wear a hat without being abused. If they meet the animals on the left attack them. Antifa is a branch of the Communist-Socialist-Nazis Democrat Party.,NOT,,,                                                                                                    that  why trump supporters can not even wear a hat without being abused  if they meet the animals on the left attack them  antifa is a branch of the communist socialist nazis democrat party 
117,69160,@USER The laughs I’ve gotten from you are enough. 😌,NOT,,,  the laughs i ve gotten from you are enough   
118,28380,@USER @USER @USER well?,NOT,,,      well?
119,40252,@USER @USER @USER First of all— they don’t even have pizza at Panera,NOT,,,      first of all  they don t even have pizza at panera
120,39907,@USER @USER @USER please don't kill me. antifa on the other hand...,OFF,TIN,IND,      please do not kill me  antifa on the other hand   
121,16164,@USER Did you see Shanahan say Spoon was not 100% healthy this game? Obviously no excuses if you’re out there BUT maybe it’s not the “all is doom” sort of thing it seemed during the game. Maybe he is still pretty good.,NOT,,,  did you see shanahan say spoon was not 100  healthy this game? obviously no excuses if you re out there but maybe it s not the  all is doom  sort of thing it seemed during the game  maybe he is still pretty good 
122,52824,@USER Good girl @USER,NOT,,,  good girl  
123,77294,@USER @USER She is an ugly black hearted troll URL,OFF,TIN,IND,    she is an ugly black hearted troll url
124,13420,@USER @USER @USER You are clearly not a pokemon master! I have almost 400 in rare candy alone. Over 150 legacy moveset pokemon. It just all depends on what you like to keep as collection pieces and what you value in the game.,NOT,,,      you are clearly not a pokemon master! i have almost 400 in rare candy alone  over 150 legacy moveset pokemon  it just all depends on what you like to keep as collection pieces and what you value in the game 
125,16940,@USER Dont believe the hype.,OFF,UNT,,  dont believe the hype 
126,83816,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA.  Please follow back.,NOT,,,                          followed all new   maga   please follow back 
127,99156,#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL,NOT,,, protests reported in  sunderland  except these are  football fan and one  flag says  westbrom on it?!  getting worse now even as i type?!   maga  mega  mbga  mcga  conservatives  patriots  muslims  farleft  leftists (doomed to lose but do not realises it)  civilwar soon? url
128,11255,"@USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity.""""",NOT,,,"  liberals would still vote for him  theywill claim his comments were taken out of context and that he is still a man of integrity """""
129,28841,@USER @USER We have been saved from you! MAGA!,OFF,TIN,IND,    we have been saved from you! maga!
130,79060,@USER You are bringing up honor and decency? With that yoyo in the picture? That's rich.,NOT,,,  you are bringing up honor and decency? with that yoyo in the picture? that  rich 
131,71682,@USER Good riddance.,NOT,,,  good riddance 
132,17577,@USER She is a goddess,NOT,,,  she is a goddess
133,27503,"@USER Omg xD The worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing..."" and the rest standin there like ""....nope he is no suffering"" ""so he is dead!"" ""...yeah, pretty dead""""",NOT,,,"  omg xd the worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing   "" and the rest standin there like ""    nope he is no suffering"" ""so he is dead!"" ""   yeah, pretty dead"""""
134,59998,"@USER You can probably imagine all the SJW snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century.""",OFF,TIN,IND,"  you can probably imagine all the sjw snowflakes that do not feel safe"" working where there might be conservatives lurking in the shadows   conservatives are now the ruskies of the 21st century """
135,81119,@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!,NOT,,,    i see may in the same light as yourself  even the last election was about her and not the conservatives   a split is coming to the tory partyvery soon!
136,28812,@USER This all I get 😢 damn these haters deleting you IG for no reason... URL,OFF,TIN,GRP,  this all i get   damn these haters deleting you ig for no reason    url
137,84131,@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?,NOT,,,  do you think canadian liberals will actually blame trudeau if he costs them this? or as per standard push it off on us?
138,23179,@USER    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.,NOT,,,     you warned everyone about josh gordon the last 4 months on a daily basis   i am sure you are as shocked as i am of what transpired today 
139,28601,@USER @USER @USER Why can't liberals read??????  READ it AGAIN URL,NOT,,,      why can not liberals read??????  read it again url
140,64776,@USER SJSHSJ THATS MY JOB BITCH,OFF,TIN,IND,  sjshsj thats my job bitch
141,95712,@USER Do they discuss Haiti?,NOT,,,  do they discuss haiti?
142,69972,@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat,OFF,TIN,IND,      what part of no collusion do not you get??? this is why you are a dumocrat
143,37115,@USER He is very skilled😂😂,NOT,,,  he is very skilled  
144,80696,@USER You are amazing 💛💛💛,NOT,,,  you are amazing    
145,68163,@USER Fist pump was for the troops.,NOT,,,  fist pump was for the troops 
146,96789,"@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!""",OFF,TIN,GRP,"  if the reason for farakans illegal values are because he is black or muslim, that would be a reason to detest him  i believe his illegal values are simply a result of bad character, like his supporters!"""
147,68629,@USER Let the leftist democrats riot in the streets with their antifa counterparts.,OFF,TIN,IND,  let the leftist democrats riot in the streets with their antifa counterparts 
