,id,tweet,clean_tweet
31,47445,". JEFF SESSIONS: ‘LISTEN TO THE ACLU, ANTIFA, BLACK LIVES MATTER’ IF YOU WANT MORE CHICAGO SHOOTINGS  . URL","  jeff sessions   listen to the aclu, antifa, black lives matter  if you want more chicago shootings    url"
32,27158,Amazon will ship live Christmas trees to your door — but will they stay and put on the damn lights? URL,amazon will ship live christmas trees to your door   but will they stay and put on the damn lights? url
33,17183,@USER I BET she is a lot safer when she has sex now tho ? Or she wouldn’t have just one but a few kids . Why cant moms get dicked down too ?,  i bet she is a lot safer when she has sex now tho ? or she wouldn t have just one but a few kids   why cant moms get dicked down too ?
34,42325,#Conservatives Govt ' @USER made my life hell': whistleblowers say they were threatened by regulator; I thought this Govt promised to protect whistleblowers?  URL, conservatives govt '   made my life hell'  whistleblowers say they were threatened by regulator  i thought this govt promised to protect whistleblowers?  url
35,15180,#FortniteBattleRoyale #XboxShare @USER   Please ban this cheating scum.  he is literally invisible URL, fortnitebattleroyale  xboxshare     please ban this cheating scum   he is literally invisible url
36,58026,#MAGA #Qanon #GreatAwakening #inners #WWG1WGA #NowComesThePain #WalkAway #GoodbyeDemocrats   Ellison Accuser Says She's Been Sidelined By Her Own Party URL, maga  qanon  greatawakening  inners  wwg1wga  nowcomesthepain  walkaway  goodbyedemocrats   ellison accuser says she  been sidelined by her own party url
37,81352,#BoycottNFL .@USER You are dead to me. @USER @USER URL, boycottnfl    you are dead to me      url
38,33133,"@USER #WalkAwayFromAllDemocrats  Michelle was there 8 years and we sure don't need any more bad advice from her now. We have a new Sheriff in Town, who's  #MAGA.  Get out and VOTE - ALL COLORS, ALL GENDERS (AKA) ALL AMERICANS!!! URL","   walkawayfromalldemocrats  michelle was there 8 years and we sure do not need any more bad advice from her now  we have a new sheriff in town, who    maga   get out and vote   all colors, all genders (aka) all americans!!! url"
39,91036,#BlaseyFord It’s so comical that liberals always want it both ways first women need to be treated as equals but when it comes to Ford testifying they say it’s unfair to have more men asking her questions. Which is it Dems are women equal or should we receive special treatment?, blaseyford it s so comical that liberals always want it both ways first women need to be treated as equals but when it comes to ford testifying they say it s unfair to have more men asking her questions  which is it dems are women equal or should we receive special treatment?
40,22882,"#Ted always has a feel for the most appropriate public behavior. But, often, he is unable to control himself. #GOPDysfunction URL"," ted always has a feel for the most appropriate public behavior  but, often, he is unable to control himself   gopdysfunction url"
41,40842,"@USER  Stick to Comedy ... You weren't that funny yo start with, but that political commentary of yours is pathetic !!!","   stick to comedy     you were not that funny yo start with, but that political commentary of yours is pathetic !!!"
42,73612,@USER #Holder needed to be impeached,   holder needed to be impeached
43,15815,#BelieveAllWomen just when I think things can't get dumber.. this happens.. liberals probably don't realize this because they are children but this isn't equality. How about we treat women an men the same.. pretty sure that'll have better results for culture, believeallwomen just when i think things can not get dumber   this happens   liberals probably do not realize this because they are children but this is not equality  how about we treat women an men the same   pretty sure thatwill have better results for culture
44,24049,#SierraBurgessIsALoser  She is me when my phone dings 😂, sierraburgessisaloser  she is me when my phone dings  
45,79204,@USER #metoo are all racist!,   metoo are all racist!
46,46229,#GOP still acting like the wimps they are.. What!? they haven’t yet realized that Liberals will hate them regardless of their sentiments.. Either Republicans are just too stupid to get out of their own way or they’re just tilted to far left.. #ConfirmKavanaughNow, gop still acting like the wimps they are   what!? they haven t yet realized that liberals will hate them regardless of their sentiments   either republicans are just too stupid to get out of their own way or they re just tilted to far left    confirmkavanaughnow
47,42196,"#TheArchers I want to be brilliant at Karate so I can kick the shit out of everyone"""""," thearchers i want to be brilliant at karate so i can kick the shit out of everyone"""""
48,34669,#DregsOfSociety  ??? #Deplorables   Liberals usually dehumanize those they want to exterminate later URL, dregsofsociety  ???  deplorables   liberals usually dehumanize those they want to exterminate later url
49,34575,#EmmyAwards2018 - Ratings tank as expected.  Who can possibly stand to watch so many liberals in one place at one time., emmyawards2018   ratings tank as expected   who can possibly stand to watch so many liberals in one place at one time 
50,20357,@USER #Gutierrez has always been nothing more than a #racebaiter,   gutierrez has always been nothing more than a  racebaiter
51,52445,"#Elitist #Actors #NBC #Liberals of #Dems in #Hollywood at the #Emmy Awards a 'toothless' #NBC self-promotion onslaught peppered with #MeToo cracks but it was planned, staged and okay because they are #Democrats #Socialist #Liberals of the #Left #WALKAWAY ! URL"," elitist  actors  nbc  liberals of  dems in  hollywood at the  emmy awards a 'toothless'  nbc self promotion onslaught peppered with  metoo cracks but it was planned, staged and okay because they are  democrats  socialist  liberals of the  left  walkaway ! url"
52,10991,#DrFord  #DearProfessorFord  Is a FRAUD Female @USER group paid for and organized by #GeorgeSoros URL, drford   dearprofessorford  is a fraud female   group paid for and organized by  georgesoros url
53,57135,"#BlueWave #DumpTrump …give my love 2, or cooperate/compromise w/, conservatives/Trump supporters who constantly vilify marginalized groups, who constantly attack women’s rights 2 make choices about their own bodies,…"," bluewave  dumptrump  give my love 2, or cooperate compromise w , conservatives trump supporters who constantly vilify marginalized groups, who constantly attack women s rights 2 make choices about their own bodies, "
54,72369,#NightMayor 's DT cycle track can easily open Antifa tennis courts inside Crescent Heights until we are able to trash Nenshi’s communist vape shop!, nightmayor   dt cycle track can easily open antifa tennis courts inside crescent heights until we are able to trash nenshi s communist vape shop!
55,42192,#ArunJaitleyStepDown He is most shameless #FM in history of India and audacity and shamelessness with which is lies in public is disgrace to post., arunjaitleystepdown he is most shameless  fm in history of india and audacity and shamelessness with which is lies in public is disgrace to post 
56,43587,"#Conservatives £2 bn Housing on-trick @USER -  What a crock of sh#te""! @USER #HousingCrisis  URL"," conservatives  2 bn housing on trick      what a crock of sh te""!    housingcrisis  url"
57,10684,2 weeks of resp done and I still don't know shit my ass still on vacation mode 😪,2 weeks of resp done and i still do not know shit my ass still on vacation mode  
58,41553,#Coupdetat of #Spain in #Catalona. #Spain is a  #fakedemocracy @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER #cddr #shameonSpain #WakeupEurope @USER @USER URL, coupdetat of  spain in  catalona   spain is a   fakedemocracy                                cddr  shameonspain  wakeupeurope     url
59,62986,"#Liberalismisamentaldisorder, but it is also a danger to our country. #Liberals are showing themselves to be utterly hateful. They do not CARE about TRUTH, they only care about POWER."," liberalismisamentaldisorder, but it is also a danger to our country   liberals are showing themselves to be utterly hateful  they do not care about truth, they only care about power "
60,70051,@USER These are all  coranated attacks from idiot loons! They will get worse much worse before the election! Can u imagine idiots who want to get rid of the economy and their 401 along with interest rates just because he is not a polished politician? Idiots!,  these are all  coranated attacks from idiot loons! they will get worse much worse before the election! can u imagine idiots who want to get rid of the economy and their 401 along with interest rates just because he is not a polished politician? idiots!
61,73642,@USER @USER Awwww she is so stinking cute! How old is she now?,    awwww she is so stinking cute! how old is she now?
62,10727,"#Benghazi  #Haiti  #UraniumOne  #SethRich What more does the justice department need? No double standards! Just because you're Rich and Powerful doesn't mean you can rob, seal and murder! #DrainTheSwamp  #HillaryForPrison  #VoteRed #MAGA URL"," benghazi   haiti   uraniumone   sethrich what more does the justice department need? no double standards! just because you are rich and powerful does not mean you can rob, seal and murder!  draintheswamp   hillaryforprison   votered  maga url"
63,11645,#JoinTheFight    Join the fight against American Communists... Democrats  and  Liberals have taken this crap to the edge and there is no coming back. They are  openly promoting the Destruction of  AMERICA.  #JoinTheFightAgainstCommunism URL, jointhefight    join the fight against american communists    democrats  and  liberals have taken this crap to the edge and there is no coming back  they are  openly promoting the destruction of  america    jointhefightagainstcommunism url
64,72274,@USER @USER has stated that any talk of Zionist involvement in 9/11 is metaphysical masturbation because he is a disinformation agent taking advantage of people of lesser intellect. He should be ashamed of himself but he’s not because he’s #Zionel,    has stated that any talk of zionist involvement in 9 11 is metaphysical masturbation because he is a disinformation agent taking advantage of people of lesser intellect  he should be ashamed of himself but he s not because he s  zionel
65,21524,"#Khaleesi kinda watching #HIAC ! Wtf does she think she is, a person? Pffft pathetic URL"," khaleesi kinda watching  hiac ! wtf does she think she is, a person? pffft pathetic url"
66,84579,And🤷🏽‍♂️ females b on the same shit URL,and      females b on the same shit url
67,59519,#DeclassifyDocuments I love watching liberals like Maria squirm. #Outnumbered, declassifydocuments i love watching liberals like maria squirm   outnumbered
68,51386,"#PoliticsInFocus Look Donald! You are only a duck, stop patronizing me! URL"," politicsinfocus look donald! you are only a duck, stop patronizing me! url"
69,10918,#CarbonTax works and will put tons more money BACK INTO Canadian pockets.  .@USER  .@USER  .@USER .@USER  Part of why Trudeau won in 2015 was campaigning on a national carbon tax. Conservatives died then. They want another death in 2019...we will oblige. URL, carbontax works and will put tons more money back into canadian pockets                  part of why trudeau won in 2015 was campaigning on a national carbon tax  conservatives died then  they want another death in 2019   we will oblige  url
70,57541,Antonia Evans was either sex trafficked or cremated.,antonia evans was either sex trafficked or cremated 
71,25125,#TheView stormy was in trapped by a dollar bill in her face poor pornstar but no worries the Democratic Party she is the leader of, theview stormy was in trapped by a dollar bill in her face poor pornstar but no worries the democratic party she is the leader of
72,61295,And these entertainment agencies just gonna have to be an ass about it. URL,and these entertainment agencies just gonna have to be an ass about it  url
73,53351,"#Trump Really, everything Trump does is another piece of evidence for obstruction of justice. He is a talking crime machine."," trump really, everything trump does is another piece of evidence for obstruction of justice  he is a talking crime machine "
74,25463,"#DisarmThem? This goes to show how moronic Antifa types are, because this is a good way to encourage some dumbass to rightfully get speedrocked. Open carry users practice weapon retention. Gun grabs will go very badly for you if you try. You will get shot, so don't do it. #2A URL"," disarmthem? this goes to show how moronic antifa types are, because this is a good way to encourage some dumbass to rightfully get speedrocked  open carry users practice weapon retention  gun grabs will go very badly for you if you try  you will get shot, so do not do it   2a url"
75,85613,#ChristineBFord #LiberalsAreDesperate @USER every time liberals don't get there way they cry racism or sexual assault. Hard to believe, christinebford  liberalsaredesperate   every time liberals do not get there way they cry racism or sexual assault  hard to believe
76,85886,"#CincinnatiEnquirer steps into #Gun Control FINALLY. Took a #MassShhoting on their damn door step for their #editors to wake up, but better late than never. URL"," cincinnatienquirer steps into  gun control finally  took a  massshhoting on their damn door step for their  editors to wake up, but better late than never  url"
77,54621,!!!!bitch i’m fucking coming back URL,!!!!bitch i m fucking coming back url
78,80397,#Liberals Are Reaching Peak Desperation To Call On #PhillipRuddock To Talk With #Turnbull To Convince Him To Help with #WentworthVotes 18 Sept 2018  @USER #Auspol #LNP #NSWpol @USER  @USER @USER #LNPMemes URL, liberals are reaching peak desperation to call on  phillipruddock to talk with  turnbull to convince him to help with  wentworthvotes 18 sept 2018     auspol  lnp  nswpol         lnpmemes url
79,68875,$uicideboy$ ON HALLOWEEN its aboout to get sooooo FUCKING spooky, uicideboy  on halloween its aboout to get sooooo fucking spooky
80,67926,"#Democrat controlled city with strict gun control laws and @USER wants to blame the #GOP Um, isn’t it you rich #Democrats trying to keep the blacks in poverty? #WalkAway URL"," democrat controlled city with strict gun control laws and   wants to blame the  gop um, isn t it you rich  democrats trying to keep the blacks in poverty?  walkaway url"
81,41588,@USER Got to love that the people making the laws tend to know nothing about the subject they're making the law for. You should hear some of the gun control laws people try to pass here in the states.,  got to love that the people making the laws tend to know nothing about the subject they are making the law for  you should hear some of the gun control laws people try to pass here in the states 
82,51948,@USER #WalkAWayFromCatholicism it is a corrupt to the core and become a giant autocratic pedophile ring.,   walkawayfromcatholicism it is a corrupt to the core and become a giant autocratic pedophile ring 
83,28196,"#CALIFORNIA PATRIOTS... especially those in #CA21  Obama/Soros are attempting to take this House seat to get control of Congress.  Say no to TJ Cox.  He is a shill Candidate fronted by the dastardly duo.  Please get out and vote David Valadao for House, Dist 21! Follow @USER URL"," california patriots    especially those in  ca21  obama soros are attempting to take this house seat to get control of congress   say no to tj cox   he is a shill candidate fronted by the dastardly duo   please get out and vote david valadao for house, dist 21! follow   url"
84,50376,- When she takes her nigga name out her bio. URL,  when she takes her nigga name out her bio  url
85,45304,#ArrestGeorgeSoros He Funds #DomesticTerrorists #Antifa URL, arrestgeorgesoros he funds  domesticterrorists  antifa url
86,27228,#Conservatives Govt have run up debt in spite of austerity cuts while the rich have doubled their wealth. #inequality  URL via @USER, conservatives govt have run up debt in spite of austerity cuts while the rich have doubled their wealth   inequality  url via  
87,57326,#CrowderConfronts continues to expose that the SJW bullies are paper tigers when conservatives fight back with truth and facts. #dontbeafraid #confrontwithtruth URL, crowderconfronts continues to expose that the sjw bullies are paper tigers when conservatives fight back with truth and facts   dontbeafraid  confrontwithtruth url
88,88221,#BiggBossTelugu2 how many of you #KaushalArmy cum @USER fans... URL, biggbosstelugu2 how many of you  kaushalarmy cum   fans    url
89,17714,"#1 son,  knockin it out the fuckin park...... URL"," 1 son,  knockin it out the fuckin park       url"
90,97610,"@USER @USER @USER Okay and? Anybody can go to Eredivise and score 15+ goals. Shit league. Bundesliga teams are competitive in euro competitions. Mexico hasn’t produced any talent like Pulisic in a long time. It’s okay, maybe you guys will one day.","      okay and? anybody can go to eredivise and score 15  goals  shit league  bundesliga teams are competitive in euro competitions  mexico hasn t produced any talent like pulisic in a long time  it s okay, maybe you guys will one day "
91,63048,#Kalyani is a very stupid teenager. I totally despise her for the atrocities she is doing towards Aunty Anupriya. She blames her for her mom’s death. She should stop and listen to Anupriya side of the story before she makes vile accusation   #TujhseHaiRaabta #ZeeTVSerials, kalyani is a very stupid teenager  i totally despise her for the atrocities she is doing towards aunty anupriya  she blames her for her mom s death  she should stop and listen to anupriya side of the story before she makes vile accusation    tujhsehairaabta  zeetvserials
92,30075,#Kalyani is a very stupid teenager. I totally despise her for the atrocities she is doing towards Aunty Anupriya. She blames her for her mom’s death. She should stop and listen to Anupriya side of the story before she makes vile accusation   #TujhseHaiRaabta #ZeeTVSerials, kalyani is a very stupid teenager  i totally despise her for the atrocities she is doing towards aunty anupriya  she blames her for her mom s death  she should stop and listen to anupriya side of the story before she makes vile accusation    tujhsehairaabta  zeetvserials
93,60466,"#Christian #America – If we go by #Trump’s example, where liberals support open borders, I guess conservatives support school shootings.   Please explain how this makes America great again."," christian  america   if we go by  trump s example, where liberals support open borders, i guess conservatives support school shootings    please explain how this makes america great again "
94,25685,@USER @USER @USER She is the most disingenuous person in the Senate. If she was my Senator I would hide in shame after her despicable behavior in the SCOTUS hearings.,      she is the most disingenuous person in the senate  if she was my senator i would hide in shame after her despicable behavior in the scotus hearings 
95,16333,#Democrats #Liberals you are being #threatened by #Armed #Nazis and you talk about #disarmament of yourselves and of #Disconnection from the #Military #Lifestyle ?  You should #broadcast your #Armory and #killSkills #RightFuckingNOW URL, democrats  liberals you are being  threatened by  armed  nazis and you talk about  disarmament of yourselves and of  disconnection from the  military  lifestyle ?  you should  broadcast your  armory and  killskills  rightfuckingnow url
96,78417,"699. Just wanted to tell you you should Hang Out With Me More. i think it’ll be fun! Also, lmao dick for a tongue? So people can easily suck me off. HAHA kidding aside, i aint want a tongue as my dick that looks hella weird.. but my choice was weird to but WHATEVER","699  just wanted to tell you you should hang out with me more  i think it ll be fun! also, lmao dick for a tongue? so people can easily suck me off  haha kidding aside, i aint want a tongue as my dick that looks hella weird   but my choice was weird to but whatever"
97,51525,#AVALANCHE I'm sorry! I see you! I love you! I was an asshole! You know how we are #maga, avalanche i am sorry! i see you! i love you! i was an asshole! you know how we are  maga
98,84550,#FF @USER he is an alien from the future 🙌🏻👽🌃 URL, ff   he is an alien from the future      url
99,23530,"#FamiliarWife JH-OMG, she is crazy WJ-Wait!....yes, I am interested in assistant manager Cha BH-You guys look like a good pair VO-Are you having some""? Just sit over here JH-Don't do it! WJ-Lets live our own life. Lets do it News-Collision on hwy, there is congestion JH-Woo-jin~ URL"," familiarwife jh omg, she is crazy wj wait!    yes, i am interested in assistant manager cha bh you guys look like a good pair vo are you having some""? just sit over here jh do not do it! wj lets live our own life  lets do it news collision on hwy, there is congestion jh woo jin  url"
100,57284,"#ThingsDarthVaderWouldNeverSay yup , white mask privilege at it's finest. Always trying to keep a black mask down #BlackLivesMatter #Qanon #Antifa #AlexJones #Infowars #StarWars #maytheforcebewithyou #thirdshiftzombies #Podcast #radio #WhiteSupremacy URL"," thingsdarthvaderwouldneversay yup , white mask privilege at it  finest  always trying to keep a black mask down  blacklivesmatter  qanon  antifa  alexjones  infowars  starwars  maytheforcebewithyou  thirdshiftzombies  podcast  radio  whitesupremacy url"
101,59700,All I’m saying if we cool and you feel any type of way about me.. speak the fuck up.,all i m saying if we cool and you feel any type of way about me   speak the fuck up 
102,13433,#Cuckservative Traitors Are Worse Than Fortnite Players URL #Conservatives #TriggerWarningRadio, cuckservative traitors are worse than fortnite players url  conservatives  triggerwarningradio
103,80197,"#Barbara Boxer If LIBERALS Want to Use RAPE as a Political Tactic! THEY Had Better Have Some HARD EVIDENCE! Her Word Isn't Evidence!!! Its Called HEARSAY . On that note, I Could Say ' YOU  ' Cornered Me In A Bathroom, And put YOUR Hands All Over Me' 35 Years Ago. PROVE ME WRONG URL"," barbara boxer if liberals want to use rape as a political tactic! they had better have some hard evidence! her word is not evidence!!! its called hearsay   on that note, i could say ' you  ' cornered me in a bathroom, and put your hands all over me' 35 years ago  prove me wrong url"
104,79309,#ConstitutionDay It's very odd for the alt right conservatives to say that we are ruining the constitution just because we want #GunControlNow but they are the ones ruining the constitution getting upset because foreigners are coming to this land who are not White wanting to live, constitutionday it  very odd for the alt right conservatives to say that we are ruining the constitution just because we want  guncontrolnow but they are the ones ruining the constitution getting upset because foreigners are coming to this land who are not white wanting to live
105,47696,#LiberalLogic  #Kavanaugh looks predatory. Therefore he's guilty.  #Liberals are DANGEROUS people who should not govern anyone or anything. URL, liberallogic   kavanaugh looks predatory  therefore he  guilty    liberals are dangerous people who should not govern anyone or anything  url
106,71294,#BREAKING. #Greece: Molotov cocktails fly after protest honouring killed antifa arti... URL via @USER URL, breaking   greece  molotov cocktails fly after protest honouring killed antifa arti    url via   url
107,55633,"#OrrinHatch I can’t believe this sexist , clueless, old fart gets to weigh in on another woman’s charges against a Supreme Court nominee. And he is spouting the same old nasty shit he spewed 20+ years ago against Anita Hill. His time’s up! Good riddance Neanderthal!"," orrinhatch i can t believe this sexist , clueless, old fart gets to weigh in on another woman s charges against a supreme court nominee  and he is spouting the same old nasty shit he spewed 20  years ago against anita hill  his time s up! good riddance neanderthal!"
108,87934,"4. (Part 2) Didn't have to think too hard to come up with Gabriel. They're a lizard themed, glitter bombing, antifa mech pilot using their superhero powers to take down corrupt logging companies. They're a buff lesbian with hearts on their uniform. Literally what's not to love?","4  (part 2) did not have to think too hard to come up with gabriel  they are a lizard themed, glitter bombing, antifa mech pilot using their superhero powers to take down corrupt logging companies  they are a buff lesbian with hearts on their uniform  literally what is not to love?"
109,57732,"#Repost theleadersmindset • • • 📍Hola Leaders!🔥 ✔️Type “READY” if you are ready to follow this steps. - “ Set goals, stay quiet about them, smash the shit out of them, clap for your damn… URL"," repost theleadersmindset        hola leaders!    type  ready  if you are ready to follow this steps      set goals, stay quiet about them, smash the shit out of them, clap for your damn  url"
110,27455,"#Liberals / #Democrats THIS is what you stand for. If not, then #WalkAway URL"," liberals    democrats this is what you stand for  if not, then  walkaway url"
111,83466,#Beeto Just Demonstrated How To Lose An Election In #Texas   URL #MAGA @USER #rkba @USER #DVC, beeto just demonstrated how to lose an election in  texas   url  maga    rkba    dvc
112,48657,And have a bitch thinking you niggas have money and you tf don’t.,and have a bitch thinking you niggas have money and you tf don t 
113,89635,*Extremely* back on my bullshit. URL, extremely  back on my bullshit  url
114,89603,7 fucking years. #MyTwitterAnniversary URL,7 fucking years   mytwitteranniversary url
115,86611,"#Dems are disgusting. They only believe women who accuse conservatives of abuse crimes. When liberals are accused, they ignore the accusations. URL"," dems are disgusting  they only believe women who accuse conservatives of abuse crimes  when liberals are accused, they ignore the accusations  url"
116,12193,#ChristineBlaseyFord is only being harassed by members of the Antifa the radical arm of the Democratic Party funded by George Soros.  #VoteRedToSaveAmerica, christineblaseyford is only being harassed by members of the antifa the radical arm of the democratic party funded by george soros    voteredtosaveamerica
117,63985,"50 Cent Calls Out Joe Budden's Bullshit"" On Instagram URL URL","50 cent calls out joe budden  bullshit"" on instagram url url"
118,20522,"#bb20 actually question why do people want Jc to win more than Angela? He has been way meaner, says the n word repeatly, makes fun of eating disorders, and sexually harasses houseguests.She is just as much as an underdog to win so dont use that excuse. #bb20  #tangela"," bb20 actually question why do people want jc to win more than angela? he has been way meaner, says the n word repeatly, makes fun of eating disorders, and sexually harasses houseguests she is just as much as an underdog to win so dont use that excuse   bb20   tangela"
119,94260,2018 not surprised it starts from the top!!!  Karma a bitch watch!!!! URL,2018 not surprised it starts from the top!!!  karma a bitch watch!!!! url
120,70324,Alright let me get right with God bc Mother Nature is like fuck humans URL,alright let me get right with god bc mother nature is like fuck humans url
